Member code,Paid amount
LM4479,1120271
LM2859,793016
LM1013,739028
LM1036,737364
LM5532,654357
LM1071,619494
LM4044,549032
LM1160,539133
LM1035,533147
LM1083,528419
LM1008,506701
LM1795,472536
LM2054,453712
LM2327,447011
LM2657,437528
LM1606,429618
LM1122,425261
LM2018,421171
LM1920,416624
LM4900,413843
LM1115,404210
LM2183,400819
LM4495,388140
LM3915,387451
LM2925,384345
LM1258,380093
LM3128,371460
LM1300,362043
LM6207,358434
LM1127,355061
LM6001,347856
LM3634,346720
LM3505,338040
LM1322,331240
LM1022,317453
LM1406,311117
LM1043,309295
LM3656,305975
LM4206,302612
LM1697,299097
LM3453,297710
LM1020,297348
LM4244,293194
LM6232,290042
LM2073,285330
LM1509,284635
LM1018,284311
LM1616,283005
LM3818,281680
LM1060,280923
